"wariant";"profil";"nr";"kategoria";"kategoria_nazwa";"kafelek1_kod";"kafelek1";"kafelek2_kod";"kafelek2";"opis_stanu";"procedura_html";"confluence_storage"
"2CCT — AC (źródło ZP)";"2CCT";"11";"A";"OK";"cz_W";"ciemnozielony W";"ziel_R";"zielony R";"Dokument prawidłowo wysłany ręcznie z poziomu CCM. Nie otrzymano ACK, Dyspozytor ustawił status 'R' po weryfikacji w CCTool.";"<strong>Brak działań — decyzja ręczna Dyspozytora.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 11 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">ciemnozielony W</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM. Nie otrzymano ACK, Dyspozytor ustawił status 'R' po weryfikacji w CCTool.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — decyzja ręczna Dyspozytora.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"12";"A";"OK";"cz_Wcet";"ciemnozielony W po CET";"puste";"puste/białe";"Dokument prawidłowo wysłany ręcznie z poziomu CCM po CET. Trwa oczekiwanie na potwierdzenie ACK — około 2 min.";"<strong>Postępowanie:</strong><ol><li>Czekaj 2-5 min</li><li>OK → ustaw 'R'</li></ol>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 12 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">W po CET</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">—</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM po CET. Trwa oczekiwanie na potwierdzenie ACK — około 2 min.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li>Czekaj 2-5 min</li><li>OK → ustaw 'R'</li></ol></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"13";"A";"OK";"cz_Wcet";"ciemnozielony W po CET";"czerw_qmark";"czerwony ?";"Dokument wysłany ręcznie z poziomu CCM po CET. Trwa oczekiwanie na potwierdzenie ACK — upłynęło więcej niż 2 minuty.";"<strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a> → sprawdź czy plik dotarł (Message Viewer)</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>OK</b> → oznacz 'R' w CCM</li><li><b>błąd</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul class=""codes""><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"" target=""_blank"" contenteditable=""false"">R05 — pełny opis</a>]</span></li><li><b>brak</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"" target=""_blank"" contenteditable=""false"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie pobierz plik ze źródła (<a href=""Inwentarz_IDCC.html#P02"" target=""_blank"" contenteditable=""false"">aplikacji ZP</a>) i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"" target=""_blank"" contenteditable=""false"">Core CC Tool (Manual Upload)</a>. <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"" target=""_blank"" contenteditable=""false"">R18 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 13 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">W po CET</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony ?</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany ręcznie z poziomu CCM po CET. Trwa oczekiwanie na potwierdzenie ACK — upłynęło więcej niż 2 minuty.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a> → sprawdź czy plik dotarł (Message Viewer)</li></ol><strong>Jeżeli:</strong><ul><li><b>OK</b> → oznacz 'R' w CCM</li><li><b>błąd</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"">R05 — pełny opis</a>]</span></li><li><b>brak</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie pobierz plik ze źródła (<a href=""Inwentarz_IDCC.html#P02"">aplikacji ZP</a>) i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"">Core CC Tool (Manual Upload)</a>. <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"">R18 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"14";"A";"OK";"cz_Wcet";"ciemnozielony W po CET";"czerw";"czerwony";"Dokument wysłany ręcznie z poziomu CCM po CET, a otrzymane ACK: (1) komunikat błędu; (2) proces błąd. Typowo kod 20 gateClosed.";"<strong>Postępowanie:</strong><ol><li>Najedź kursorem na status i odczytaj kod ACK (typowo kod 20)</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>kod 20 (bramka dla pliku zamknięta)</b> → po CET bramka jest zamknięta → zgłoś</li><li><b>inny kod</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul class=""codes""><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"" target=""_blank"" contenteditable=""false"">R05 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 14 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">W po CET</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany ręcznie z poziomu CCM po CET, a otrzymane ACK: (1) komunikat błędu; (2) proces błąd. Typowo kod 20 gateClosed.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li>Najedź kursorem na status i odczytaj kod ACK (typowo kod 20)</li></ol><strong>Jeżeli:</strong><ul><li><b>kod 20 (bramka dla pliku zamknięta)</b> → po CET bramka jest zamknięta → zgłoś</li><li><b>inny kod</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"">R05 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"15";"A";"OK";"cz_Wcet";"ciemnozielony W po CET";"fiol";"fioletowy";"Dokument prawidłowo wysłany ręcznie z poziomu CCM po CET. Otrzymano potwierdzenie ACK z pozytywnym komunikatem (po CET).";"<strong>Brak działań — ręczna + ACK po CET, OK.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 15 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">W po CET</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Blue</ac:parameter><ac:parameter ac:name=""title"">fioletowy</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM po CET. Otrzymano potwierdzenie ACK z pozytywnym komunikatem (po CET).</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — ręczna + ACK po CET, OK.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"16";"A";"OK";"cz_Wcet";"ciemnozielony W po CET";"czarn";"czarny";"Dokument prawidłowo wysłany ręcznie z poziomu CCM po CET. Nie otrzymano potwierdzenia ACK — upłynął czas CET.";"<strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a> → sprawdź status</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>OK (Processed)</b> → oznacz 'R' w CCM + zgłoś</li><li><b>brak / awaria zwrotna</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"" target=""_blank"" contenteditable=""false"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie pobierz plik ze źródła (<a href=""Inwentarz_IDCC.html#P02"" target=""_blank"" contenteditable=""false"">aplikacji ZP</a>) i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"" target=""_blank"" contenteditable=""false"">Core CC Tool (Manual Upload)</a>. <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"" target=""_blank"" contenteditable=""false"">R18 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 16 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">W po CET</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">czarny</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM po CET. Nie otrzymano potwierdzenia ACK — upłynął czas CET.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a> → sprawdź status</li></ol><strong>Jeżeli:</strong><ul><li><b>OK (Processed)</b> → oznacz 'R' w CCM + zgłoś</li><li><b>brak / awaria zwrotna</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie pobierz plik ze źródła (<a href=""Inwentarz_IDCC.html#P02"">aplikacji ZP</a>) i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"">Core CC Tool (Manual Upload)</a>. <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"">R18 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"17";"A";"OK";"ziel_R";"zielony R";"puste";"puste/białe";"Dokument oznaczony ręcznie jako wysłany prawidłowo do CCTool. Trwa oczekiwanie na ACK — około 2 min.";"<strong>Postępowanie:</strong><ol><li>Czekaj 5 min</li><li>OK → 'R' dla ACK</li></ol>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 17 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">—</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument oznaczony ręcznie jako wysłany prawidłowo do CCTool. Trwa oczekiwanie na ACK — około 2 min.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li>Czekaj 5 min</li><li>OK → 'R' dla ACK</li></ol></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"18";"A";"OK";"ziel_R";"zielony R";"czerw_qmark";"czerwony ?";"Dokument oznaczony ręcznie jako wysłany prawidłowo. Trwa oczekiwanie na ACK — upłynęło więcej niż 2 min.";"<strong>Postępowanie:</strong><ol><li>Czekaj 5 min</li><li>OK → 'R' dla ACK</li></ol>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 18 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony ?</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument oznaczony ręcznie jako wysłany prawidłowo. Trwa oczekiwanie na ACK — upłynęło więcej niż 2 min.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li>Czekaj 5 min</li><li>OK → 'R' dla ACK</li></ol></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"19";"A";"OK";"ziel_R";"zielony R";"czarn";"czarny";"Dokument oznaczony ręcznie jako wysłany prawidłowo. Nie otrzymano potwierdzenia ACK — upłynął czas CET.";"<strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a> → sprawdź status</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>OK (Processed)</b> → utrzymaj 'R'</li><li><b>brak / awaria</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"" target=""_blank"" contenteditable=""false"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie pobierz plik ze źródła (<a href=""Inwentarz_IDCC.html#P02"" target=""_blank"" contenteditable=""false"">aplikacji ZP</a>) i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"" target=""_blank"" contenteditable=""false"">Core CC Tool (Manual Upload)</a>. <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"" target=""_blank"" contenteditable=""false"">R18 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 19 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">czarny</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument oznaczony ręcznie jako wysłany prawidłowo. Nie otrzymano potwierdzenia ACK — upłynął czas CET.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a> → sprawdź status</li></ol><strong>Jeżeli:</strong><ul><li><b>OK (Processed)</b> → utrzymaj 'R'</li><li><b>brak / awaria</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie pobierz plik ze źródła (<a href=""Inwentarz_IDCC.html#P02"">aplikacji ZP</a>) i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"">Core CC Tool (Manual Upload)</a>. <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"">R18 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"20";"A";"OK";"czerw_excl";"czerwony !";"ziel_R";"zielony R";"Wysłany dokument nie spełnia kryterium rozmiaru. ACK nie otrzymano, Dyspozytor ustawił status 'R' po weryfikacji w CCTool.";"<strong>Brak działań — Dyspozytor zatwierdził zawartość.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 20 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony !</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Wysłany dokument nie spełnia kryterium rozmiaru. ACK nie otrzymano, Dyspozytor ustawił status 'R' po weryfikacji w CCTool.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — Dyspozytor zatwierdził zawartość.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"21";"B";"MONITORING";"szary";"szary";"szary";"szary";"Dokument jeszcze nie został wysłany do CCTool, ACK nie napłynął. Plik nie wymagany (>30 min do TET).";"<strong>Brak działań — czekaj do TET 14:00.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 21 · MONITORING</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">szary</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">szary</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument jeszcze nie został wysłany do CCTool, ACK nie napłynął. Plik nie wymagany (&gt;30 min do TET).</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — czekaj do TET 14:00.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — AC (źródło ZP)";"2CCT";"22";"C";"BACKUP WYMAGANY";"czerw";"czerwony";"czerw";"czerwony";"Zbliża się CET — plik niedostarczony lub błąd wysyłki. Stan alarmowy.";"<strong>Postępowanie (alarm):</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a> → sprawdź czy plik dotarł do Core CC Tool</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>plik jest, brak ACK</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul class=""codes""><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"" target=""_blank"" contenteditable=""false"">R05 — pełny opis</a>]</span></li><li><b>brak pliku (awaria Connector 2.0)</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"" target=""_blank"" contenteditable=""false"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie pobierz plik ze źródła (<a href=""Inwentarz_IDCC.html#P02"" target=""_blank"" contenteditable=""false"">aplikacji ZP</a>) i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"" target=""_blank"" contenteditable=""false"">Core CC Tool (Manual Upload)</a>. <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"" target=""_blank"" contenteditable=""false"">R18 — pełny opis</a>]</span></li><li><b>brak pliku w źródle</b> → Brak pliku lub wersji w aplikacji źródłowej. Otwórz <a href=""Inwentarz_IDCC.html#P02"" target=""_blank"" contenteditable=""false"">aplikacji ZP</a>, przejdź do bilansu i sprawdź wersję pliku: jeśli wersja jest dostępna — pobierz ją (Pobierz XML); jeśli brakuje — wygeneruj nową wersję; jeśli aplikacja nie działa — zgłoś. <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R20"" target=""_blank"" contenteditable=""false"">R20 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — AC (źródło ZP) — Stan 22 · BACKUP WYMAGANY</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Zbliża się CET — plik niedostarczony lub błąd wysyłki. Stan alarmowy.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie (alarm):</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a> → sprawdź czy plik dotarł do Core CC Tool</li></ol><strong>Jeżeli:</strong><ul><li><b>plik jest, brak ACK</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"">R05 — pełny opis</a>]</span></li><li><b>brak pliku (awaria Connector 2.0)</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie pobierz plik ze źródła (<a href=""Inwentarz_IDCC.html#P02"">aplikacji ZP</a>) i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"">Core CC Tool (Manual Upload)</a>. <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"">R18 — pełny opis</a>]</span></li><li><b>brak pliku w źródle</b> → Brak pliku lub wersji w aplikacji źródłowej. Otwórz <a href=""Inwentarz_IDCC.html#P02"">aplikacji ZP</a>, przejdź do bilansu i sprawdź wersję pliku: jeśli wersja jest dostępna — pobierz ją (Pobierz XML); jeśli brakuje — wygeneruj nową wersję; jeśli aplikacja nie działa — zgłoś. <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R20"">R20 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
